"Gene.Name","DMSO.Intensity","Slope","Bottom","Top","Inflection","EC50","EC50.Standard.Error","Correction.Factor","Apparent.Kd","R2","Target.Classification","uniqueIdentifier","Peptides.100nM","Peptides.10nM","Peptides.30nM","Peptides.3nM","Peptides.DMSO","Unique.peptides.100nM","Unique.peptides.10nM","Unique.peptides.30nM","Unique.peptides.3nM","Unique.peptides.DMSO","Quantile.Intensity","Quantile.Intensity.100nM","Quantile.Intensity.10nM","Quantile.Intensity.30nM","Quantile.Intensity.3nM","Quantile.Intensity.DMSO","Quantile.LFQ.intensity.100nM","Quantile.LFQ.intensity.10nM","Quantile.LFQ.intensity.30nM","Quantile.LFQ.intensity.3nM","Quantile.LFQ.intensity.DMSO","MS.MS.Count.100nM","MS.MS.Count.10nM","MS.MS.Count.30nM","MS.MS.Count.3nM","MS.MS.Count.DMSO","Normalized.Intensity.100nM","Normalized.Intensity.10nM","Normalized.Intensity.30nM","Normalized.Intensity.3nM","Normalized.Intensity.DMSO","Normalized.LFQ.intensity.100nM","Normalized.LFQ.intensity.10nM","Normalized.LFQ.intensity.30nM","Normalized.LFQ.intensity.3nM","Normalized.LFQ.intensity.DMSO","Peptides.1000nM","Unique.peptides.1000nM","Quantile.Intensity.1000nM","Quantile.LFQ.intensity.1000nM","MS.MS.Count.1000nM","Normalized.Intensity.1000nM","Normalized.LFQ.intensity.1000nM","Peptides.30000nM","Unique.peptides.30000nM","Quantile.Intensity.30000nM","Quantile.LFQ.intensity.30000nM","MS.MS.Count.30000nM","Normalized.Intensity.30000nM","Normalized.LFQ.intensity.30000nM","Peptides.3000nM","Unique.peptides.3000nM","Quantile.Intensity.3000nM","Quantile.LFQ.intensity.3000nM","MS.MS.Count.3000nM","Normalized.Intensity.3000nM","Normalized.LFQ.intensity.3000nM","Peptides.300nM","Unique.peptides.300nM","Quantile.Intensity.300nM","Quantile.LFQ.intensity.300nM","MS.MS.Count.300nM","Normalized.Intensity.300nM","Normalized.LFQ.intensity.300nM","Peptides.1nM","Unique.peptides.1nM","Quantile.Intensity.1nM","Quantile.LFQ.intensity.1nM","MS.MS.Count.1nM","Normalized.Intensity.1nM","Normalized.LFQ.intensity.1nM","Peptides.0.3nM","Unique.peptides.0.3nM","Quantile.Intensity.0.3nM","Quantile.LFQ.intensity.0.3nM","MS.MS.Count.0.3nM","Normalized.Intensity.0.3nM","Normalized.LFQ.intensity.0.3nM","kinase","directBinder","coenriched"
"AAK1",676100000,5.56378761557808,0.894741141605326,1.09105886792757,1679.0870508226,1679.0870508226,1052.53170889052,0.673072921311572,1130.1480264336,0.456520714838087,FALSE,"Dasatinib_AAK1",29,29,30,28,27,27,27,29,27,25,0.969879712688858,0.969174357372848,0.980806438296666,0.976927881457232,0.97563742224041,0.974404396535323,0.980153132100667,0.977209664624187,0.979953909606832,0.975865361490112,0.977193511449012,58,68,62,55,56,0.760434846916137,1.27917467830203,1.05198935068777,0.989217571365183,1,1.17998110173566,1.01440578220579,1.17066458896275,0.955224375445518,1,31,29,0.968411568545101,0.973564431426182,71,0.982517379085934,1.13722792301444,27,25,0.972988301511578,0.970084319574418,59,1.25364591036829,0.964922168990269,29,28,0.967478273979389,0.966543184616434,52,0.932643100133116,0.825655222717703,28,27,0.971421443519526,0.977234791785572,65,0.957136518266529,1.17487525487791,NA,NA,0.00799223211753768,0.00799223211753768,NA,NA,NA,NA,NA,0.0046646780313228,0.0046646780313228,NA,NA,NA,TRUE,TRUE,FALSE
"AAR2",790080,NA,NA,NA,NA,NA,NA,1.01848366209908,NA,NA,FALSE,"Dasatinib_AAR2",0,0,0,0,1,0,0,0,0,1,0.00075022524705384,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.19246328742242,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.414766873786268,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,NA,NA,0.00808735637135073,0.00808735637135073,NA,NA,NA,NA,NA,0.00475980228513585,0.00475980228513585,NA,NA,NA,FALSE,FALSE,FALSE
"AARS",4218400,-11.1738127602758,1.40789235230072,8.23984685038789,1219.09584263412,1219.09584263412,1555.30882322479,1.40995735050918,1219.09584263412,0.930594253837071,FALSE,"Dasatinib_AARS",5,6,4,1,3,5,6,4,1,3,0.723529432879968,0.577526266857633,0.702149808136175,0.546881898751898,0.327503831892111,0.490638337587003,0.675870386922389,0.734497438824336,0.625818876241551,1.7947972417556e-06,1.7947972417556e-06,2,5,0,0,0,1.30843447752702,3.10141285795562,1.03304570453252,0.267257728048549,1,Inf,Inf,Inf,NA,NA,6,6,0.634144940646055,0.68890599928926,1,2.08081263038119,Inf,11,11,0.798618365083297,0.766024847173015,9,7.6491086667931,Inf,11,11,0.81405900575412,0.78217263795709,10,8.83036222264366,Inf,6,6,0.618025866617848,0.686804291719164,2,1.73750711170112,Inf,NA,NA,0.00822017136724064,0.00822017136724064,NA,NA,NA,NA,NA,0.00489261728102576,0.00489261728102576,NA,NA,NA,FALSE,TRUE,FALSE
"AASDHPPT",1099000,-12.4599415356467,1.0115858492787,2.46195711041034,1723.46782402497,1723.46782402497,1857.81375640136,1.03969377883092,1723.46782402497,0.802707464028696,FALSE,"Dasatinib_AASDHPPT",1,1,1,1,1,1,1,1,1,1,0.304702727732848,0.278550737123227,0.342784735608418,0.312206775000628,0.338929511133127,0.247432542545669,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1,1,0,1,1,0.655268425841674,1.13148316651501,0.832538671519563,1.11128298453139,1,NA,NA,NA,NA,NA,1,1,0.281758039794244,1.7947972417556e-06,1,0.748444040036397,NA,1,1,0.421610435669082,1.7947972417556e-06,1,2.14731574158326,NA,1,1,0.467261103513136,1.7947972417556e-06,0,2.77588717015469,NA,1,1,0.396104572066494,1.7947972417556e-06,0,1.60409463148317,NA,NA,NA,0.00884117121288808,0.00884117121288808,NA,NA,NA,NA,NA,0.00551541192391496,0.00551541192391496,NA,NA,NA,FALSE,FALSE,FALSE
"ABCA13",3749300,-11.9678387718696,0.0499465433600401,1.26573395274097,2169.53655816413,2169.53655816413,13909.6340598067,0.810700873392421,1758.84518256045,0.329777370014367,FALSE,"Dasatinib_ABCA13",0,0,0,1,1,0,0,0,1,1,0.126023483127111,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.528644963978419,0.469255123248727,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.53730486066989,0,0,0,0,0,0,0,0,1.08828314618729,1,0,0,0,0,1,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,1,1,0.534023971311961,1.7947972417556e-06,0,1.2602352439122,0,1,1,0.535982095102716,1.7947972417556e-06,0,1.24223188328488,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,NA,NA,0.00914269714950302,0.00914269714950302,NA,NA,NA,NA,NA,0.00581873265777165,0.00581873265777165,NA,NA,NA,FALSE,FALSE,FALSE
"ABCB7",796580,0.435292812824509,-0.000980510945513513,1.08414689866029,314.771782976088,314.771782976088,NA,1.15848878020397,314.771782976088,0.563168702755758,FALSE,"Dasatinib_ABCB7",1,1,1,1,1,1,1,1,1,1,0.072055724864762,0.230222231794474,0.292656048646184,0.299585760796603,0.272310227113643,0.193759131030967,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,0.558864144216526,1.07139270380878,1.0396193728188,0.918815435988852,1,NA,NA,NA,NA,NA,1,1,0.212624244839061,1.7947972417556e-06,0,0.518140048708228,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,1,1,0.23521715251828,1.7947972417556e-06,0,0.703507494539155,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,NA,NA,0.00970267388893077,0.00970267388893077,NA,NA,NA,NA,NA,0.0063787093971994,0.0063787093971994,NA,NA,NA,FALSE,FALSE,FALSE
"ABCD3",2208000,1.01317158261941,0.140870083644954,1.04185329057391,47.7035176453701,47.7035176453701,62.4576322524407,0.961145543109494,45.8500233754926,0.691906665812897,FALSE,"Dasatinib_ABCD3",1,1,2,2,2,1,1,2,2,2,0.399049834340215,0.298751180079186,0.369704899437511,0.418175193748362,0.448758538747878,0.372849384205066,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.536328490970375,1.7947972417556e-06,0,0,0,0,0,0.385489130434783,0.679030797101449,0.872780797101449,1.13324275362319,1,NA,NA,NA,Inf,NA,1,1,0.369548752077478,1.7947972417556e-06,0,0.716983695652174,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,NA,NA,0.0104564887304681,0.0104564887304681,NA,NA,NA,NA,NA,0.00713431903597851,0.00713431903597851,NA,NA,NA,FALSE,FALSE,FALSE
"ABCE1",3984600,-11.2428388867342,0.976809704146279,2.62124227755654,1731.45171093528,1731.45171093528,2603.08474701393,1.37276308509203,1731.45171093528,0.544616518470328,FALSE,"Dasatinib_ABCE1",2,4,3,2,2,2,4,3,2,2,0.58449546454737,0.256830100903501,0.662594271725123,0.537913296934845,0.530739492359548,0.480379276553128,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0,0,1,0,0,0.14825327510917,2.46810219344476,1.03280128494705,1.03809667218792,1,NA,NA,NA,NA,NA,2,2,0.437684639766246,1.7947972417556e-06,1,0.624178085629674,NA,4,4,0.635374376756658,1.7947972417556e-06,1,2.25927320182703,NA,4,4,0.678415409411199,0.678566172379506,3,2.98147869296793,Inf,2,2,0.424006489986826,1.7947972417556e-06,1,0.531395874115344,NA,NA,NA,0.0109267256078081,0.0109267256078081,NA,NA,NA,NA,NA,0.00760635071056023,0.00760635071056023,NA,NA,NA,FALSE,FALSE,FALSE
"ABCF1",5747400,-1.17133424533765,0.348075382444242,90.6274370959608,2070637.29793702,2070637.29793702,9.99999999999859,1.35237221041942,2070637.29793702,0.236415196360597,FALSE,"Dasatinib_ABCF1",2,3,4,2,3,2,3,4,2,3,0.462420535352121,0.466534210630225,0.579132610389004,0.573724886299595,0.483184544641992,0.546140647491053,1.7947972417556e-06,0.592437442342139,0.597764400555669,1.7947972417556e-06,0.630296895359731,1,1,1,2,2,0.475884747886001,0.984601732957511,0.897814664021993,0.537999791209938,1,0,0.62014547057527,0.642744838733377,0,1,1,1,0.364096158057024,1.7947972417556e-06,0,0.265198176566795,0,5,5,0.649870954078318,0.636485356249304,3,1.72620663256429,0.973183454558813,7,7,0.688923947261678,0.575776339546921,2,2.23074781640394,0.581000661229888,1,1,0.318712915001992,1.7947972417556e-06,1,0.177889132477294,0,NA,NA,0.0115692630203566,0.0115692630203566,NA,NA,NA,NA,NA,0.00825247771759224,0.00825247771759224,NA,NA,NA,FALSE,FALSE,FALSE
"ABCF2",1324400,16.2889429832366,0.339431173650407,1.27213336332264,79.1996974012197,79.1996974012197,683.349292085192,1.43245955098457,79.1996974012197,0.212788233543929,FALSE,"Dasatinib_ABCF2",1,1,2,0,1,1,1,2,0,1,0.255417595474239,0.234287447547051,0.301441581144578,0.552015018863319,1.7947972417556e-06,0.280013496875258,1.7947972417556e-06,1.7947972417556e-06,0.600296859463786,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,0.35245394140743,0.690909090909091,3.39753850800362,0,1,NA,NA,Inf,NA,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,NA,1,1,0.321746122340559,1.7947972417556e-06,1,0.878209000302024,NA,1,1,0.262740368220602,1.7947972417556e-06,0,0.48663545756569,NA,NA,NA,0.0118007918645431,0.0118007918645431,NA,NA,NA,NA,NA,0.00848400656177872,0.00848400656177872,NA,NA,NA,FALSE,FALSE,FALSE
